,problem_set,orientation,direction,target,solution,validity,generalizability,explainability_size,explainabilty_repeated_terms,explainabilty_cognitive_chunks,time_to_generate
0,0,Columns,Addition,6(Number_of_genres),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,6(Number_of_genres),"(all_numeric) transform(IMDB_Rating):
  if IMDB_Rating <= 7.8500001430511475:
    if IMDB_Rating <= 7.6499998569488525:
      new value: 0
    else (IMDB_Rating > 7.6499998569488525): 
      if IMDB_Rating <= 7.75:
        new value: 0
      else (IMDB_Rating > 7.75): 
        new value: 0
  else (IMDB_Rating > 7.8500001430511475): 
    if IMDB_Rating <= 8.75:
      if IMDB_Rating <= 8.449999809265137:
        if IMDB_Rating <= 8.349999904632568:
          if IMDB_Rating <= 7.950000047683716:
            new value: 0
          else (IMDB_Rating > 7.950000047683716): 
            if IMDB_Rating <= 8.050000190734863:
              new value: 0
            else (IMDB_Rating > 8.050000190734863): 
              if IMDB_Rating <= 8.25:
                if IMDB_Rating <= 8.150000095367432:
                  new value: 0
                else (IMDB_Rating > 8.150000095367432): 
                  new value: 0
              else (IMDB_Rating > 8.25): 
                new value: 0
        else (IMDB_Rating > 8.349999904632568): 
          new value: 1
      else (IMDB_Rating > 8.449999809265137): 
        if IMDB_Rating <= 8.650000095367432:
          if IMDB_Rating <= 8.550000190734863:
            new value: 0
          else (IMDB_Rating > 8.550000190734863): 
            new value: 0
        else (IMDB_Rating > 8.650000095367432): 
          new value: 0
    else (IMDB_Rating > 8.75): 
      if IMDB_Rating <= 9.25:
        if IMDB_Rating <= 8.849999904632568:
          new value: 2
        else (IMDB_Rating > 8.849999904632568): 
          if IMDB_Rating <= 8.949999809265137:
            new value: 0
          else (IMDB_Rating > 8.949999809265137): 
            if IMDB_Rating <= 9.099999904632568:
              new value: 1
            else (IMDB_Rating > 9.099999904632568): 
              new value: 1
      else (IMDB_Rating > 9.25): 
        new value: 2
",0.65125,0.625,33.0,1.0,16.0,0.002172231674194336
2,0,Columns,Addition,6(Number_of_genres),(all_numeric) (no extensions)y = -1.161 + 0.204 * IMDB_Rating,0.007134487496649022,0.0,2.0,0.0,1.0,0.002444028854370117
3,0,Columns,Addition,6(Number_of_genres),(all_numeric) y = -0.341 + 0.013 * IMDB_Rating^2,0.007223512699812806,0.0,2.0,0.0,3.0,0.002232074737548828
4,0,Columns,Addition,6(Number_of_genres),(all_numeric) y = -0.067 + 0.001 * IMDB_Rating^3,0.007314513138550027,0.0,2.0,0.0,4.0,0.001809835433959961
5,0,Columns,Addition,6(Number_of_genres),(all_numeric) y = -1.161 + 0.204 * IMDB_Rating,0.007134487496649022,0.0,2.0,0.0,1.0,0.002835988998413086
6,0,Columns,Addition,6(Number_of_genres),(all_numeric) y = 0.282 + ε * exp(IMDB_Rating),0.007973986532202382,0.0,2.0,1.0,3.0,0.001940011978149414
7,0,Columns,Addition,6(Number_of_genres),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,7(Title_len),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,7(Title_len),(all_numeric) (no extensions)y = 15.535,0.0,0.0,1.0,0.0,1.0,0.0014040470123291016
2,0,Columns,Addition,7(Title_len),(all_numeric) y = 15.535,0.0,0.0,1.0,0.0,1.0,0.002068042755126953
3,0,Columns,Addition,7(Title_len),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,8(IMDB_Rating_power_2_plus_price),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,8(IMDB_Rating_power_2_plus_price),(all_numeric) (no extensions)y = -65.558 + 17.206 * IMDB_Rating,0.9993499496338729,0.9995516876438,2.0,0.0,1.0,0.0014557838439941406
2,0,Columns,Addition,8(IMDB_Rating_power_2_plus_price),(all_numeric) y = 0.000 + 1.000 * IMDB_Rating + 1.000 * IMDB_Rating^2,1.0,1.0,3.0,0.0,3.0,0.0016748905181884766
3,0,Columns,Addition,8(IMDB_Rating_power_2_plus_price),(all_numeric) y = 2.738 + 1.122 * IMDB_Rating^2 + -0.005 * IMDB_Rating^3,0.9999999965838787,0.9999999971866459,3.0,0.0,4.0,0.002112150192260742
4,0,Columns,Addition,8(IMDB_Rating_power_2_plus_price),(all_numeric) y = -65.558 + 17.206 * IMDB_Rating,0.9993499496338728,0.9995516876438001,2.0,0.0,1.0,0.004445075988769531
5,0,Columns,Addition,8(IMDB_Rating_power_2_plus_price),(all_numeric) y = 57.308 + 30.562 * IMDB_Rating + -110.643 * log(IMDB_Rating) + ε * exp(IMDB_Rating),0.9999999851555229,0.9999999879873678,4.0,1.0,4.0,0.0018239021301269531
6,0,Columns,Addition,8(IMDB_Rating_power_2_plus_price),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,9(log_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,9(log_Rating),(all_numeric) (no extensions)y = 1.090 + 0.124 * IMDB_Rating,0.9993088014166169,0.9995198794196762,2.0,0.0,1.0,0.0014908313751220703
2,0,Columns,Addition,9(log_Rating),(all_numeric) y = 0.605 + 0.244 * IMDB_Rating + -0.007 * IMDB_Rating^2,0.9999990584889922,0.99999925727518,3.0,0.0,3.0,0.0022249221801757812
3,0,Columns,Addition,9(log_Rating),(all_numeric) y = 1.272 + 0.022 * IMDB_Rating^2 + -0.001 * IMDB_Rating^3,0.9999912928453346,0.9999930176481373,3.0,0.0,4.0,0.002203226089477539
4,0,Columns,Addition,9(log_Rating),(all_numeric) y = 1.090 + 0.124 * IMDB_Rating,0.9993088014166169,0.9995198794196761,2.0,0.0,1.0,0.0022430419921875
5,0,Columns,Addition,9(log_Rating),(all_numeric) y = 1.001 + 0.136 * IMDB_Rating + ε * exp(IMDB_Rating),0.9999724051065493,0.9999770618625912,3.0,1.0,3.0,0.002836942672729492
6,0,Columns,Addition,9(log_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,10(1_div_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,10(1_div_Rating),(all_numeric) (no extensions)y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274493,2.0,0.0,1.0,0.001459360122680664
2,0,Columns,Addition,10(1_div_Rating),(all_numeric) y = 0.366 + -0.045 * IMDB_Rating + 0.002 * IMDB_Rating^2,0.9999919096247933,0.9999936508727101,3.0,0.0,3.0,0.002206087112426758
3,0,Columns,Addition,10(1_div_Rating),(all_numeric) y = 0.244 + -0.004 * IMDB_Rating^2 + 0.000 * IMDB_Rating^3,0.9999667544823012,0.9999734870332401,3.0,0.0,4.0,0.002187013626098633
4,0,Columns,Addition,10(1_div_Rating),(all_numeric) y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274492,2.0,0.0,1.0,0.0020580291748046875
5,0,Columns,Addition,10(1_div_Rating),(all_numeric) y = 0.269 + -0.018 * IMDB_Rating + ε * exp(IMDB_Rating),0.9998734565780943,0.9998953752762796,3.0,1.0,3.0,0.0021610260009765625
6,0,Columns,Addition,10(1_div_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,11(sqrt_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,11(sqrt_Rating),(all_numeric) (no extensions)y = 1.422 + 0.176 * IMDB_Rating,0.9998246014560829,0.9998783855074523,2.0,0.0,1.0,0.001463174819946289
2,0,Columns,Addition,11(sqrt_Rating),(all_numeric) y = 1.074 + 0.262 * IMDB_Rating + -0.005 * IMDB_Rating^2,0.9999998645755995,0.9999998928381167,3.0,0.0,3.0,0.0023369789123535156
3,0,Columns,Addition,11(sqrt_Rating),(all_numeric) y = 1.791 + 0.026 * IMDB_Rating^2 + -0.001 * IMDB_Rating^3,0.9999965206691852,0.9999972007952881,3.0,0.0,4.0,0.0022039413452148438
4,0,Columns,Addition,11(sqrt_Rating),(all_numeric) y = 1.422 + 0.176 * IMDB_Rating,0.9998246014560829,0.9998783855074523,2.0,0.0,1.0,0.0022330284118652344
5,0,Columns,Addition,11(sqrt_Rating),(all_numeric) y = 1.358 + 0.185 * IMDB_Rating + ε * exp(IMDB_Rating),0.9999936038504224,0.9999946666909106,3.0,1.0,3.0,0.0021588802337646484
6,0,Columns,Addition,11(sqrt_Rating),(all_textual) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
0,0,Columns,Addition,12(exp_Rating),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,12(exp_Rating),(all_numeric) (no extensions)y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274493,2.0,0.0,1.0,0.0017049312591552734
2,0,Columns,Addition,12(exp_Rating),(all_numeric) y = 0.366 + -0.045 * IMDB_Rating + 0.002 * IMDB_Rating^2,0.9999919096247933,0.9999936508727101,3.0,0.0,3.0,0.002088785171508789
3,0,Columns,Addition,12(exp_Rating),(all_numeric) y = 0.244 + -0.004 * IMDB_Rating^2 + 0.000 * IMDB_Rating^3,0.9999667544823012,0.9999734870332401,3.0,0.0,4.0,0.0021550655364990234
4,0,Columns,Addition,12(exp_Rating),(all_numeric) y = 0.248 + -0.015 * IMDB_Rating,0.9973181756159246,0.9981293058274492,2.0,0.0,1.0,0.002048969268798828
5,0,Columns,Addition,12(exp_Rating),(all_numeric) y = 0.269 + -0.018 * IMDB_Rating + ε * exp(IMDB_Rating),0.9998734565780943,0.9998953752762796,3.0,1.0,3.0,0.002189159393310547
